Year,Min Avg Temp,Max Avg Temp
1850,12.832999999999998,16.783
1851,13.245,16.831
1852,13.231,16.984
1853,13.142999999999999,16.999000000000002
1854,12.982999999999999,16.775000000000002
1855,13.215,16.685000000000002
1856,13.311,16.675
1857,12.972,16.477999999999998
1858,13.220999999999998,16.51
1859,13.058,16.494
1860,12.828,16.737000000000002
1861,12.475,16.715999999999998
1862,12.658,16.593
1863,13.296,16.575
1864,12.879,16.715
1865,13.26,16.749000000000002
1866,13.467,17.06
1867,13.370999999999999,16.672
1868,13.012,17.025000000000002
1869,13.289,16.711000000000002
1870,13.175999999999998,16.86
1871,13.089,16.858
1872,13.040999999999999,16.843
1873,13.353,16.805
1874,13.392,16.745
1875,13.027,16.683
1876,13.1,16.848
1877,13.306,17.076
1878,13.526,16.999000000000002
1879,13.318,16.746000000000002
1880,13.129,16.695
1881,13.395999999999999,16.783
1882,13.187000000000001,16.678
1883,13.106,16.664
1884,13.27,16.434
1885,12.889,16.601
1886,13.001,16.622
1887,12.62,16.63
1888,13.132,16.686
1889,13.401,16.796
1890,13.068,16.528
1891,13.037,16.62
1892,13.196,16.476
1893,12.702,16.788
1894,13.039,16.687
1895,13.084,16.715999999999998
1896,13.366,16.866
1897,13.312,16.783
1898,13.351,16.627
1899,13.306,16.746000000000002
1900,13.142,16.785
1901,13.29,16.718
1902,13.24,16.69
1903,13.205,16.496000000000002
1904,12.957,16.525000000000002
1905,13.205,16.651
1906,13.25,16.662
1907,13.107999999999999,16.596
1908,13.16,16.618000000000002
1909,12.839,16.496000000000002
1910,13.015999999999998,16.543
1911,12.908,16.430999999999994
1912,13.23,16.509
1913,13.065999999999999,16.552
1914,13.545,16.692
1915,13.32,16.817
1916,13.005999999999998,16.599
1917,12.84,16.706
1918,13.129,16.596
1919,13.263,16.582
1920,13.257,16.692999999999998
1921,13.439,16.783
1922,13.177,16.745
1923,13.24,16.628
1924,13.302999999999999,16.724
1925,13.157,16.740000000000002
1926,13.538,16.8
1927,13.323,16.812
1928,13.568,16.796
1929,13.137,16.671
1930,13.26,16.854
1931,13.529000000000002,16.967
1932,13.558,16.846
1933,13.26,16.704
1934,13.276,16.851
1935,13.299,16.848
1936,13.26,16.928
1937,13.417,17.054000000000002
1938,13.556,16.904
1939,13.537999999999998,16.988
1940,13.575999999999999,17.123
1941,13.622,17.131
1942,13.773,16.902
1943,13.522,16.95
1944,13.767,17.119
1945,13.585999999999999,17.105999999999998
1946,13.528,16.944000000000006
1947,13.532,16.973
1948,13.54,16.938
1949,13.633,16.807000000000002
1950,13.311,16.980999999999998
1951,13.341,17.081
1952,13.762,17.067999999999998
1953,13.642,17.088
1954,13.38,16.851
1955,13.522,16.899
1956,13.444,16.830000000000002
1957,13.472999999999999,17.049
1958,13.829,17.039
1959,13.636,17.002
1960,13.552999999999999,16.985
1961,13.664,16.987000000000002
1962,13.655,16.952
1963,13.594,17.089000000000002
1964,13.522,16.784000000000002
1965,13.545,16.803
1966,13.495,17.033
1967,13.527,16.97
1968,13.389,16.887
1969,13.517999999999999,16.945
1970,13.707,16.912
1971,13.615,16.846
1972,13.298,16.977999999999998
1973,13.711,17.002
1974,13.3,16.912
1975,13.557,16.877
1976,13.442,16.864
1977,13.646999999999998,17.047
1978,13.587,16.935
1979,13.63,16.992
1980,13.812,17.171
1981,13.963,17.217
1982,13.587,17.0
1983,13.886,17.145
1984,13.604000000000001,16.972
1985,13.677999999999999,17.012999999999998
1986,13.724,16.991
1987,13.758,17.296
1988,13.923,17.179000000000002
1989,13.565999999999999,17.150000000000002
1990,13.890999999999998,17.246000000000002
1991,13.859000000000002,17.348
1992,13.902000000000001,17.000999999999998
1993,13.895999999999999,17.155
1994,13.731,17.183
1995,13.945,17.375
1996,13.720999999999998,17.22
1997,13.818,17.307000000000002
1998,14.062999999999999,17.609
1999,13.933,17.218
2000,13.773,17.243000000000002
2001,13.936,17.45
2002,14.127,17.487000000000002
2003,14.207,17.423000000000002
2004,14.097,17.266000000000002
2005,14.159,17.503
2006,13.99,17.479
2007,14.11,17.485
2008,13.719,17.449
2009,14.091,17.578
2010,14.117,17.532
2011,13.927999999999999,17.567999999999998
2012,13.859000000000002,17.45
2013,14.117,17.503
2014,14.136,17.607
2015,14.255,17.611
