Year,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1990,15.629333333333335,0.05725
1991,15.597999999999999,0.05508333333333334
1992,15.453000000000003,0.05816666666666668
1993,15.466416666666667,0.05916666666666668
1994,15.534999999999998,0.05858333333333334
1995,15.637833333333333,0.06041666666666668
1996,15.524666666666668,0.0595
1997,15.713833333333334,0.05916666666666667
1998,15.826000000000002,0.063
1999,15.600333333333333,0.06333333333333334
2000,15.610666666666667,0.06350000000000001
2001,15.767499999999998,0.06458333333333334
2002,15.829166666666667,0.06291666666666666
2003,15.826583333333337,0.06433333333333334
2004,15.75725,0.061250000000000006
2005,15.879249999999999,0.06083333333333335
2006,15.8135,0.06100000000000002
2007,15.827333333333334,0.05908333333333334
2008,15.721250000000003,0.05725
2009,15.827166666666669,0.05891666666666667
2010,15.895499999999998,0.05858333333333334
2011,15.7695,0.059
2012,15.802333333333337,0.0615
2013,15.854416666666667,0.06466666666666666
2014,15.912999999999997,0.06316666666666669
2015,16.058583333333335,0.06083333333333333
